Numero;Nom;NPA;Ville;Adresse;Contact;Presidence
4245;Fromagerie villageoise Alosen;6315;Alosen;Birchliweg 3;info@kaesereiott.ch;Blattmann Karl
3345;Fromagerie villageoise Alterswil;1715;Alterswil;Hauptstrasse 74;+41 26 494 09 92;Fasel Philipp
4127;Fromagerie villageoise Arconciel;1732;Arconciel;Au Village 50;info@laiterie-arconciel.ch;Bulliard Philippe
4128;Fromagerie villageoise Autigny;1742;Autigny;Ruelle de la Forge 3;026 477 11 84;Benoît Cudré-Mauroux
4379;Fromagerie villageoise Ballaigues;1338;Ballaigues;Rte des Planches 4;021/843.16.40;Bourgeois Romain
4380;Fromagerie villageoise Baulmes;1446;Baulmes;Rue Famenan 18;024/ 459 14 15;Hurni Gérald
4129;Fromagerie villageoise Belfaux;1782;Belfaux;Rte du Centre 30;026 /475.26.01;Bovigny François
4213;Fromagerie villageoise Bémont;2406;Le Brouillet;Bémont 241;fromagerie.de.bemont@gmail.com;Schneiter Roger
4333;Fromagerie villageoise Bière;1145;Bière;Rue du Flon 10;info@fromageriebiere.ch;Jotterand Nicolas
4078;Fromagerie villageoise Billens;1681;Billens;Chemin du Dévin 2;026/652.22.20;Giroud Julien
4130;Fromagerie villageoise Bonnefontaine;1724;Bonnefontaine;Au Village 2;026/413.45.13;Richard Romain
4155;Fromagerie villageoise Bouloz-Porsel;1699;Bouloz;Ch. de Marteray 2;021/907.11.26;Cardinaux Frédéric
4370;Fromagerie villageoise Brenles-Chesalles-Sarzens;1683;Brenles;Place de la Laiterie 1;;Nicolas Pichonnat
4208;Fromagerie villageoise Büel-Plaffeien;1716;Oberschrot;Büel 50;;Bapst Markus
4362;Fromagerie villageoise Bullet;1453;Bullet;Petite Charrière 1;;Wieland Daphnée
4107;Fromagerie villageoise Charmey;1637;Charmey;La Tzintre 53;026/927.11.31;Savary Cédric
4156;Fromagerie villageoise Châtel-St-Denis;1618;Châtel-St-Denis;Route Prayoud 55;;Genoud Etienne
4079;Fromagerie villageoise Châtelard-Bas;1689;Le Châtelard;Route de la Bourga 5;;Uldry René
4324;Fromagerie villageoise Châtonnaye;1553;Châtonnaye;Route des Roches 6;info@fromagerie-mesot.ch;Glauser Fritz
4081;Fromagerie villageoise Chavannes-les-Forts;1676;Chavannes-les-Forts;Rte d'Oron 140;026/656.13.42;Surchat Pascal
4131;Fromagerie villageoise Chénens;1744;Chénens;Route d'Autigny 12;;Defferard Claude
4392;Fromagerie villageoise Chesalles-sur-Oron;1608;Chesalles-sur-Oron;Route de Bulle 3;021/ 907.74.84;Imhof Pierre
