Numero,Nom,NPA,Ville,Adresse,Contact,Presidence,PLZ,Ortschaftsname,Kantonskürzel
4245.0,Fromagerie villageoise Alosen,6315,Alosen,Birchliweg 3,info@kaesereiott.ch,Blattmann Karl,6315.0,Alosen,ZG
3345.0,Fromagerie villageoise Alterswil,1715,Alterswil,Hauptstrasse 74,+41 26 494 09 92,Fasel Philipp,,,
4127.0,Fromagerie villageoise Arconciel,1732,Arconciel,Au Village 50,info@laiterie-arconciel.ch,Bulliard Philippe,1732.0,Arconciel,FR
4128.0,Fromagerie villageoise Autigny,1742,Autigny,Ruelle de la Forge 3,026 477 11 84,Benoît Cudré-Mauroux,1742.0,Autigny,FR
4379.0,Fromagerie villageoise Ballaigues,1338,Ballaigues,Rte des Planches 4,021/843.16.40,Bourgeois Romain,1338.0,Ballaigues,VD
4380.0,Fromagerie villageoise Baulmes,1446,Baulmes,Rue Famenan 18,024/ 459 14 15,Hurni Gérald,1446.0,Baulmes,VD
4129.0,Fromagerie villageoise Belfaux,1782,Belfaux,Rte du Centre 30,026 /475.26.01,Bovigny François,1782.0,Belfaux,FR
4213.0,Fromagerie villageoise Bémont,2406,Le Brouillet,Bémont 241,fromagerie.de.bemont@gmail.com,Schneiter Roger,2406.0,Le Brouillet,NE
4333.0,Fromagerie villageoise Bière,1145,Bière,Rue du Flon 10,info@fromageriebiere.ch,Jotterand Nicolas,1145.0,Bière,VD
4078.0,Fromagerie villageoise Billens,1681,Billens,Chemin du Dévin 2,026/652.22.20,Giroud Julien,1681.0,Billens,FR
4130.0,Fromagerie villageoise Bonnefontaine,1724,Bonnefontaine,Au Village 2,026/413.45.13,Richard Romain,1724.0,Bonnefontaine,FR
4155.0,Fromagerie villageoise Bouloz-Porsel,1699,Bouloz,Ch. de Marteray 2,021/907.11.26,Cardinaux Frédéric,1699.0,Bouloz,FR
4370.0,Fromagerie villageoise Brenles-Chesalles-Sarzens,1683,Brenles,Place de la Laiterie 1,,Nicolas Pichonnat,1683.0,Brenles,VD
4208.0,Fromagerie villageoise Büel-Plaffeien,1716,Oberschrot,Büel 50,,Bapst Markus,1716.0,Oberschrot,FR
4362.0,Fromagerie villageoise Bullet,1453,Bullet,Petite Charrière 1,,Wieland Daphnée,1453.0,Bullet,VD
4107.0,Fromagerie villageoise Charmey,1637,Charmey,La Tzintre 53,026/927.11.31,Savary Cédric,,,
4156.0,Fromagerie villageoise Châtel-St-Denis,1618,Châtel-St-Denis,Route Prayoud 55,,Genoud Etienne,1618.0,Châtel-St-Denis,FR
4079.0,Fromagerie villageoise Châtelard-Bas,1689,Le Châtelard,Route de la Bourga 5,,Uldry René,,,
4324.0,Fromagerie villageoise Châtonnaye,1553,Châtonnaye,Route des Roches 6,info@fromagerie-mesot.ch,Glauser Fritz,1553.0,Châtonnaye,FR
4081.0,Fromagerie villageoise Chavannes-les-Forts,1676,Chavannes-les-Forts,Rte d'Oron 140,026/656.13.42,Surchat Pascal,1676.0,Chavannes-les-Forts,FR
4131.0,Fromagerie villageoise Chénens,1744,Chénens,Route d'Autigny 12,,Defferard Claude,1744.0,Chénens,FR
4392.0,Fromagerie villageoise Chesalles-sur-Oron,1608,Chesalles-sur-Oron,Route de Bulle 3,021/ 907.74.84,Imhof Pierre,1608.0,Chesalles-sur-Oron,VD
4218.0,Fromagerie villageoise Chézard-St-Martin,2053,Cernier,Passage des Cèpes 1,,Christen Daniel,2053.0,Cernier,NE
4400.0,Fromagerie villageoise Combremont-le-Grand,1535,Combremont-le-Grand,Place de l'Eglise 3,026 / 666.00.04,Pernet Serge,1535.0,Combremont-le-Grand,VD
4401.0,Fromagerie villageoise Combremont-le-Petit,1536,Combremont-le-Petit,Rue Lucens 8,026/666.00.97,Baumgartner Andréas,1536.0,Combremont-le-Petit,VD
4112.0,Fromagerie villageoise Corbières,1647,Corbières,Impasse Pra-Girard 1,026/915.25.60,Dominique Magnin,1647.0,Corbières,FR
4393.0,Fromagerie villageoise Corcelles-le-Jorat,1082,Corcelles-le-Jorat,Route de la Laiterie 6,021 / 903 17 90,Goël Jacques,1082.0,Corcelles-le-Jorat,VD
4014.0,Fromagerie villageoise Cortébert,2607,Cortébert,Les Ruaux 4,032 489 17 83,Fuhrer Swen,2607.0,Cortébert,BE
4135.0,Fromagerie villageoise Cottens,1741,Cottens,Route du Centre 19,026 477 11 84,Nicolet Jean-Marc,,,
4265.0,Fromagerie villageoise Courgenay,2950,Courgenay,Rue de Sedrac 14,032/471.30.42,Oeuvray Aurélien,2950.0,Courgenay,JU
2409.0,Fromagerie villageoise Cremo,1752,Villars-sur-Glâne,Route de Moncor 6,info@cremo.ch,Godel Georges,1752.0,Villars-sur-Glâne,FR
4261.0,Fromagerie villageoise Develier,2802,Develier,Rue de La Liberté 27,,Boillat Vincent,2802.0,Develier,JU
3343.0,Fromagerie villageoise Düdingen,3186,Düdingen,Käsereistrasse 1,,Bernhard Raemy,3186.0,Düdingen,FR
61203775.0,Fromagerie villageoise Duo-Vallon/Les Bayards,2127,Les Bayards,Quartier de Bise 108,,Gfeller Jean-Pierre,2127.0,Les Bayards,NE
4108.0,Fromagerie villageoise Echarlens,1646,Echarlens,Route de Montilier 5,info@fromagerie-echarlens.ch,Charrière Pascal,1646.0,Echarlens,FR
4394.0,Fromagerie villageoise Ecoteaux,1612,Ecoteaux,Grand'Route 12,021/907.62.15,Chollet David,1612.0,Ecoteaux,VD
4047.0,Fromagerie villageoise Eichholz,1735,Giffers,Eichholz 8,026 / 418 25 16,Neuhaus Thomas,1735.0,Giffers,FR
4410.0,Fromagerie villageoise Essertines-sur-Rolle,1186,Essertines-sur-Rolle,Rte de St-Oyens 54,021/828.36.72,Monthoux Jean-Michel,1186.0,Essertines-sur-Rolle,VD
4138.0,Fromagerie villageoise Farvagny,1726,Farvagny-le-Grand,Route du Bry 7,farvagny@fromagerie-gibloux.ch,Suchet Pierre-Alain,1726.0,Farvagny-le-Grand,FR
4263.0,Fromagerie villageoise Fornet-Dessous,2717,Fornet-Dessous,Fromagerie 45a,contact@fromagerieamstutz.ch,Gogniat David,2717.0,Fornet-Dessous,BE
4017.0,Fromagerie villageoise Franches-Montagnes SA,2340,Le Noirmont,Rue de l'Avenir 2,info@fdfm.ch,Sébastien Oppliger,2340.0,Le Noirmont,JU
4205.0,Fromagerie villageoise Friseneit,3185,Schmitten,Friseneit 157,louis-a.yerly@bluewin.ch,Rudaz Elmar,,,
4035.0,Fromagerie villageoise Fritzenhaus,3457,Wasen im Emmental,Fritzenhaus,info@kaeserei-fritzenhaus.ch,Schütz Niklaus,3457.0,Wasen im Emmental,BE
4244.0,Fromagerie villageoise Gebertingen,8725,Gebertingen,Rickenstrasse 17,info@chaesi-walde.ch,Eicher Roman,8725.0,Gebertingen,SG
4335.0,Fromagerie villageoise Gimel,1188,Gimel,Rue de la Chomaz 5,laiterie.gimel@gmail.com,Bastian Cyril,1188.0,Gimel,VD
4403.0,Fromagerie villageoise Grandcour,1543,Grandcour,Chemin de Vernex 7,info@fromagerie-grandcour.ch,Mayor Mathias,1543.0,Grandcour,VD
4110.0,Fromagerie villageoise Grandvillard,1666,Grandvillard,Chemin des Noisetiers 1,laiterie.grandvillard@bluewin.ch,Borcard Antoine,1666.0,Grandvillard,FR
4136.0,Fromagerie villageoise Grangeneuve,1725,Posieux,Route de Grangeneuve 31,Gael.Niquille@fr.ch,Galley Alexandre,1725.0,Posieux,FR
4085.0,Fromagerie villageoise Grangettes,1686,Grangettes,Centre Village 4,026/652.11.45,Jaquet Emmanuel,,,
4139.0,Fromagerie villageoise Grolley,1772,Grolley,Place de l'Eglise 3,laiteriedegrolley@bluewin.ch,Buchs Jean-Daniel,1772.0,Grolley,FR
4111.0,Fromagerie villageoise Gumefens,1643,Gumefens,Route de la Chapelle 2,026/ 436 26 26,Richard Fragnière,1643.0,Gumefens,FR
4018.0,Fromagerie villageoise Häuslenbach,3531,Oberthal,Häuslenbach 122,haeuslenbach@bluewin.ch,Fankhauser Peter,3531.0,Oberthal,BE
4202.0,Fromagerie villageoise Heitenried,1714,Heitenried,Äbnet 3,laden@kaeserei-heitenried.ch,Linder André,1714.0,Heitenried,FR
4480.0,Fromagerie villageoise Hinterberg,6318,Walchwil,Hinterberg 1,rust@chaes-rust.ch,Kenel Jörg,6318.0,Walchwil,ZG
4029.0,Fromagerie villageoise Hirschmatt,3158,Guggisberg,Hirschmatt 149b,031/735.54.60,Stefan Schumacher,3158.0,Guggisberg,BE
4105.0,Fromagerie villageoise Jaun,1656,Jaun,Jaunpassstrasse 4,kaeserei.jaun@bluewin.ch,Cottier Michael,1656.0,Jaun,FR
4019.0,Fromagerie villageoise Juchlishaus,3204,Rosshäusern,Riedbachstrasse 21,,Marthaler Urs,3204.0,Rosshäusern,BE
4367.0,Fromagerie villageoise L'Auberson,1454,L'Auberson,Grand-Rue 124,fromagerie@tyrode.ch,Erb Benoît,1454.0,L'Auberson,VD
4350.0,Fromagerie villageoise L'Isle,1148,L'Isle,Rue du Levant 1,021 / 864.42.67,Hostettler Jürg,1148.0,L'Isle,VD
4214.0,Fromagerie villageoise La Brévine,2406,La Brévine,Village 198,,Pellaton Fabrice,2406.0,La Brévine,NE
4221.0,Fromagerie villageoise La Côte-aux-Fées,2117,La Côte-aux-Fées,Entre-deux-Bolles 2,,Burri Laurent,2117.0,La Côte-aux-Fées,NE
4087.0,Fromagerie villageoise La Joux,1697,La Joux,Rte de Montborget 3,,Droux Dominique,,,
4219.0,Fromagerie villageoise La Joux-du-Plâne,2058,La Joux-du-Plâne,La Joux-du-Plâne 6,,Ducommun Stéphane,,,
4384.0,Fromagerie villageoise La Praz,1148,La Praz,Grand-Rue 2,,David Adrien,1148.0,La Praz,VD
4119.0,Fromagerie villageoise La Roche,1634,La Roche,Route de Fribourg 13,info@fromageriedelaroche.ch,Paradis Dominique,,,
4211.0,Fromagerie villageoise La Sagne,2314,La Sagne,Miéville 132a,,Bähler Florian,,,
4189.0,Fromagerie villageoise La Sionge,1625,La Sionge/Sâles,Route de la Sionge 31,,Seydoux Eric,,,
3312.0,Fromagerie villageoise Lanthen,3185,Schmitten,Lanthen 1,,Reidy Pascal,,,
4411.0,Fromagerie villageoise Le Brassus,1348,Le Brassus,Le Rocher 4,,Daniel Kämpf,1348.0,Le Brassus,VD
4215.0,Fromagerie villageoise Le Cerneux-Péquignot,2414,Cerneux-Péquignot,Le Village 5,032/936.10.39,Pochon Philippe,,,
4157.0,Fromagerie villageoise Le Crêt,1611,Le Crêt-près-Semsales,Rue de l'Eglise 56,fromagerie-liaudat@outlook.com,Ayer Serge,1611.0,Le Crêt-près-Semsales,FR
4413.0,Fromagerie villageoise Le Lieu,1345,Le Lieu,Les Terreaux 8,info@hauser-authentique.ch,Bachelard David,1345.0,Le Lieu,VD
4142.0,Fromagerie villageoise Le Mouret,1724,"Ferpicloz, Le Mouret",Route de la Gruyère 6,026/ 413.11.07,Michel Clément,,,
4117.0,Fromagerie villageoise Le Pâquier,1661,Le Pâquier-Montbarry,Place du Centre 10,,Morand Alexis,1661.0,Le Pâquier-Montbarry,FR
4415.0,Fromagerie villageoise Le Solliat,1347,Le Solliat,Rue du Village 1,021/565.61.71,Jean-François Pittet,1347.0,Le Solliat,VD
4216.0,Fromagerie villageoise Les Chaux,2405,La Chaux-du-Milieu,Les Jolys 54,fromdeschaux@bluewin.ch,Edouard Philipona,2405.0,La Chaux-du-Milieu,NE
4222.0,Fromagerie villageoise Les Jordans,2406,Le Brouillet,Les Jordans 5,,Rosselet François,2406.0,Le Brouillet,NE
4217.0,Fromagerie villageoise Les Martel,2316,Les Ponts-de-Martel,Rue Major-Benoît 25,info@fromagerie-les-martel.ch, Raymondaz Thierry,2316.0,Les Ponts-de-Martel,NE
5973.1,Fromagerie villageoise Les Moulins,1660,Les Moulins,Route de la Rosette 1,,Chapalay Frédéric,1660.0,Les Moulins,VD
4012.0,Fromagerie villageoise Les Reussilles,2722,Les Reussilles,Le Saucy 24,info@fromageriesa.ch,Christen Thierry,2722.0,Les Reussilles,BE
4225.0,Fromagerie villageoise Les Sagnettes,2124,Les Sagnettes,Route de la Brévine 2,032/935.12.21,Robert Grégory,2124.0,Les Sagnettes,NE
4226.0,Fromagerie villageoise Les Verrières,2126,Les Verrières,Rue de la Gare 221,,Rosselet Christian,2126.0,Les Verrières,NE
4389.0,Fromagerie villageoise Lignerolle,1357,Lignerolle,Sur la Place 3,,Nicolet Jacques,1357.0,Lignerolle,VD
4060.0,Fromagerie villageoise Lignières,2523,Lignières,Rue du Franc-Alleu 22,fromageriedelignieres@gmail.com,Pascal Chiffelle,2523.0,Lignières,BE
4328.0,Fromagerie villageoise Lugnorre,1789,Lugnorre,Route de Chenaux 11,admin@fdnsa.ch,Amiet Jacques,1789.0,Lugnorre,FR
3235.0,Fromagerie villageoise Mamishaus,3152,Mamishaus,Käsereistrasse 4,031 731 02 07,Beyeler Urs,3152.0,Mamishaus,BE
4113.0,Fromagerie villageoise Marsens,1633,Marsens,Route des Bugnons 2,info@fromagerie-de-marsens.ch,Gapany Serge,1633.0,Marsens,FR
4089.0,Fromagerie villageoise Mézières,1684,Mézières,Route de Villariaz 1,info@fromagerie-mezieres.ch,Davet Denis,,,
4154.0,Fromagerie villageoise Misery,1721,Misery,Route de Courtion 83,gregoire@fromageriekern.ch,Markus Anken,1721.0,Misery,FR
