Numero,Nom,NPA,Ville,Adresse,Contact,Presidence,Canton,PLZ,Ortschaftsname,lat,lng
4245.0,Fromagerie villageoise Alosen,6315,Alosen,Birchliweg 3,info@kaesereiott.ch,Blattmann Karl,ZG,6315.0,Alosen,47.15440298509271,8.652531768168961
3345.0,Fromagerie villageoise Alterswil,1715,Alterswil FR,Hauptstrasse 74,+41 26 494 09 92,Fasel Philipp,FR,1715.0,Alterswil FR,46.780143135535745,7.270365180581011
4127.0,Fromagerie villageoise Arconciel,1732,Arconciel,Au Village 50,info@laiterie-arconciel.ch,Bulliard Philippe,FR,1732.0,Arconciel,46.753033849130475,7.115320317314292
4128.0,Fromagerie villageoise Autigny,1742,Autigny,Ruelle de la Forge 3,026 477 11 84,Benoît Cudré-Mauroux,FR,1742.0,Autigny,46.74076421555469,7.033294973492447
4379.0,Fromagerie villageoise Ballaigues,1338,Ballaigues,Rte des Planches 4,021/843.16.40,Bourgeois Romain,VD,1338.0,Ballaigues,46.73517829337586,6.41044251138218
4380.0,Fromagerie villageoise Baulmes,1446,Baulmes,Rue Famenan 18,024/ 459 14 15,Hurni Gérald,VD,1446.0,Baulmes,46.78742641257896,6.503536095919586
4129.0,Fromagerie villageoise Belfaux,1782,Belfaux,Rte du Centre 30,026 /475.26.01,Bovigny François,FR,1782.0,Belfaux,46.82475098826383,7.0970594830581275
4213.0,Fromagerie villageoise Bémont,2406,Le Brouillet,Bémont 241,fromagerie.de.bemont@gmail.com,Schneiter Roger,NE,2406.0,Le Brouillet,46.95382785634403,6.529839597744263
4333.0,Fromagerie villageoise Bière,1145,Bière,Rue du Flon 10,info@fromageriebiere.ch,Jotterand Nicolas,VD,1145.0,Bière,46.548788727875966,6.313666472760218
4078.0,Fromagerie villageoise Billens,1681,Billens,Chemin du Dévin 2,026/652.22.20,Giroud Julien,FR,1681.0,Billens,46.69079446705002,6.896926196941729
4130.0,Fromagerie villageoise Bonnefontaine,1724,Bonnefontaine,Au Village 2,026/413.45.13,Richard Romain,FR,1724.0,Bonnefontaine,46.733325031017436,7.203939014995793
4155.0,Fromagerie villageoise Bouloz-Porsel,1699,Bouloz,Ch. de Marteray 2,021/907.11.26,Cardinaux Frédéric,FR,1699.0,Bouloz,46.615094096813245,6.891344347398814
